               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.04248,            0.035686,            0.018829,             0.66763,             0.60813,             0.65135,             0.37626,            0.038188,            0.020176,            0.010799,            0.006238,            0.006238,            0.006238
                  78,            0.042515,            0.035214,            0.018647,              0.6718,              0.6037,             0.65175,             0.37755,            0.038139,            0.020184,            0.010567,           0.0061885,           0.0061885,           0.0061885
                  79,            0.042456,            0.035166,            0.018499,              0.6697,             0.60604,             0.65049,             0.37795,             0.03803,            0.020156,            0.010362,            0.006139,            0.006139,            0.006139
                  80,            0.042366,            0.035381,             0.01816,             0.65946,             0.61717,             0.65323,             0.38067,             0.03802,            0.020129,            0.010462,           0.0060895,           0.0060895,           0.0060895
                  81,            0.042381,            0.035472,            0.018283,             0.66689,             0.61196,             0.65239,             0.38137,            0.037988,            0.020127,            0.010503,             0.00604,             0.00604,             0.00604
                  82,             0.04209,            0.035387,            0.018062,             0.66552,             0.61528,             0.65466,             0.38256,            0.037961,            0.020116,            0.010575,           0.0059905,           0.0059905,           0.0059905
                  83,            0.042112,            0.035168,            0.018149,             0.67681,             0.61434,             0.65749,             0.38422,            0.037806,             0.02007,            0.010511,            0.005941,            0.005941,            0.005941
                  84,            0.042306,            0.035317,            0.017839,             0.68116,             0.60814,             0.65614,             0.38494,            0.037796,            0.020076,            0.010444,           0.0058915,           0.0058915,           0.0058915
                  85,            0.041933,            0.035198,            0.017943,             0.67066,             0.61059,             0.65564,             0.38412,            0.037769,            0.020093,            0.010517,            0.005842,            0.005842,            0.005842
                  86,            0.041891,            0.035312,             0.01776,             0.66947,             0.62071,             0.65701,             0.38513,            0.037745,            0.020091,            0.010455,           0.0057925,           0.0057925,           0.0057925
                  87,            0.041887,            0.035396,            0.017851,              0.6719,             0.62621,             0.66009,             0.38693,            0.037682,            0.020045,            0.010358,            0.005743,            0.005743,            0.005743
                  88,            0.041964,            0.035218,            0.017375,             0.66868,             0.62311,             0.66042,             0.38744,            0.037631,            0.019996,             0.01028,           0.0056935,           0.0056935,           0.0056935
                  89,             0.04183,             0.03536,            0.017527,             0.67331,             0.62206,              0.6598,             0.38694,            0.037603,            0.020016,            0.010312,            0.005644,            0.005644,            0.005644
                  90,            0.041622,            0.034931,            0.017699,             0.67321,             0.62274,             0.66195,             0.38839,             0.03755,            0.019994,            0.010246,           0.0055945,           0.0055945,           0.0055945
                  91,            0.041593,            0.035264,            0.017219,             0.67477,             0.62472,             0.66293,             0.38976,            0.037502,             0.01998,            0.010266,            0.005545,            0.005545,            0.005545
                  92,            0.041637,            0.035282,            0.016992,              0.6837,             0.62273,              0.6636,             0.39146,            0.037479,            0.019967,              0.0103,           0.0054955,           0.0054955,           0.0054955
                  93,            0.041519,            0.035294,             0.01726,             0.67424,              0.6277,             0.66385,             0.39263,            0.037432,            0.019966,            0.010239,            0.005446,            0.005446,            0.005446
                  94,            0.041558,            0.035182,            0.017498,             0.67643,              0.6291,             0.66588,             0.39352,            0.037399,            0.019964,            0.010187,           0.0053965,           0.0053965,           0.0053965
                  95,            0.041459,            0.034927,            0.017204,              0.6737,             0.63291,             0.66716,             0.39523,            0.037358,             0.01995,            0.010133,            0.005347,            0.005347,            0.005347
                  96,              0.0414,            0.034919,            0.016984,             0.68018,             0.62771,             0.66768,             0.39502,            0.037353,            0.019938,            0.010179,           0.0052975,           0.0052975,           0.0052975
                  97,            0.041211,            0.034784,            0.016906,             0.68313,             0.62674,             0.66855,             0.39593,            0.037256,            0.019922,            0.010037,            0.005248,            0.005248,            0.005248
                  98,            0.041387,            0.034989,            0.016724,             0.68313,             0.62559,             0.66996,             0.39725,            0.037224,            0.019903,            0.010051,           0.0051985,           0.0051985,           0.0051985
                  99,            0.041239,            0.035098,            0.016801,             0.68174,              0.6326,             0.67153,              0.3981,            0.037182,            0.019897,            0.010014,            0.005149,            0.005149,            0.005149
                 100,             0.04094,            0.034598,            0.016567,             0.67808,             0.63607,             0.67327,             0.39952,            0.037182,            0.019873,           0.0099561,           0.0050995,           0.0050995,           0.0050995
                 101,            0.040858,            0.034867,            0.016716,             0.67935,             0.63964,             0.67487,             0.40025,            0.037155,            0.019858,           0.0099052,             0.00505,             0.00505,             0.00505
                 102,            0.040794,            0.034632,            0.016314,             0.67867,             0.63787,             0.67617,             0.40131,            0.037135,            0.019848,           0.0098773,           0.0050005,           0.0050005,           0.0050005
                 103,            0.040928,            0.034667,            0.016449,             0.67814,             0.63717,             0.67619,             0.40169,            0.037076,            0.019839,           0.0098359,            0.004951,            0.004951,            0.004951
                 104,            0.040806,            0.034748,            0.016505,             0.68253,             0.63771,             0.67693,             0.40253,            0.037055,            0.019838,           0.0098742,           0.0049015,           0.0049015,           0.0049015
                 105,            0.040627,             0.03447,             0.01627,             0.68071,              0.6391,             0.67841,             0.40344,            0.037011,            0.019824,           0.0098228,            0.004852,            0.004852,            0.004852
                 106,            0.040699,            0.034778,            0.016163,             0.68667,             0.63956,             0.67911,             0.40335,            0.036986,            0.019816,           0.0098195,           0.0048025,           0.0048025,           0.0048025
