               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.040558,            0.034723,            0.016225,             0.69641,             0.63145,             0.67986,             0.40699,            0.036906,            0.019773,            0.010121,           0.0048025,           0.0048025,           0.0048025
                 107,            0.040544,            0.034409,            0.016373,             0.70153,             0.62831,             0.67961,             0.40718,            0.036884,            0.019769,            0.010108,            0.004753,            0.004753,            0.004753
                 108,            0.040581,            0.034778,             0.01594,             0.69762,             0.62997,             0.68049,             0.40793,            0.036866,            0.019753,              0.0101,           0.0047035,           0.0047035,           0.0047035
                 109,            0.040361,            0.034385,            0.016221,             0.69654,             0.63377,             0.68112,             0.40915,            0.036878,            0.019745,            0.010101,            0.004654,            0.004654,            0.004654
                 110,            0.040541,            0.034481,            0.015831,             0.69769,             0.63354,             0.68117,              0.4099,            0.036863,             0.01973,            0.010053,           0.0046045,           0.0046045,           0.0046045
                 111,            0.040471,             0.03459,            0.015853,             0.69441,             0.63697,             0.68191,             0.40998,            0.036853,            0.019721,            0.010042,            0.004555,            0.004555,            0.004555
                 112,            0.040153,            0.034182,             0.01576,             0.69807,             0.63507,             0.68193,             0.41057,            0.036837,            0.019715,            0.010077,           0.0045055,           0.0045055,           0.0045055
                 113,            0.040297,             0.03427,            0.015699,             0.70421,             0.63209,             0.68289,              0.4111,            0.036812,            0.019707,            0.010085,            0.004456,            0.004456,            0.004456
                 114,            0.040352,            0.034347,            0.015621,             0.70179,             0.63373,             0.68351,             0.41192,            0.036776,            0.019699,            0.010042,           0.0044065,           0.0044065,           0.0044065
                 115,            0.040355,            0.034496,            0.015574,              0.7031,             0.63459,             0.68405,              0.4118,            0.036761,             0.01969,           0.0099953,            0.004357,            0.004357,            0.004357
                 116,             0.04005,            0.034225,            0.015338,             0.69869,             0.63931,             0.68491,             0.41213,            0.036745,            0.019684,           0.0099664,           0.0043075,           0.0043075,           0.0043075
                 117,            0.040103,            0.034136,            0.015532,             0.70124,             0.63826,              0.6855,             0.41251,            0.036736,            0.019674,            0.009945,            0.004258,            0.004258,            0.004258
                 118,            0.040103,             0.03426,            0.015306,             0.69896,             0.64034,             0.68622,             0.41307,            0.036707,            0.019665,           0.0098932,           0.0042085,           0.0042085,           0.0042085
                 119,            0.039635,             0.03409,            0.015254,             0.69814,                0.64,             0.68702,             0.41379,            0.036698,            0.019654,           0.0098894,            0.004159,            0.004159,            0.004159
                 120,            0.039819,            0.034009,            0.015392,             0.69897,             0.64166,             0.68736,             0.41415,            0.036683,            0.019646,           0.0098947,           0.0041095,           0.0041095,           0.0041095
                 121,            0.039735,            0.034054,            0.015329,             0.69912,             0.64103,             0.68749,             0.41511,            0.036662,            0.019634,           0.0098757,             0.00406,             0.00406,             0.00406
                 122,            0.039728,            0.034177,             0.01493,             0.69678,             0.64269,              0.6877,             0.41582,            0.036651,            0.019626,            0.009865,           0.0040105,           0.0040105,           0.0040105
                 123,            0.039623,            0.033814,            0.015014,             0.69452,             0.64407,             0.68823,             0.41626,             0.03664,            0.019617,           0.0098703,            0.003961,            0.003961,            0.003961
                 124,             0.03918,            0.033773,            0.014809,             0.69897,             0.64245,             0.68882,              0.4163,            0.036621,            0.019612,            0.009863,           0.0039115,           0.0039115,           0.0039115
                 125,              0.0397,            0.034085,             0.01505,             0.69544,             0.64342,             0.68887,             0.41675,            0.036606,            0.019606,           0.0098615,            0.003862,            0.003862,            0.003862
                 126,             0.03949,            0.034065,            0.014835,             0.69312,             0.64459,             0.68894,             0.41726,             0.03659,            0.019598,           0.0098525,           0.0038125,           0.0038125,           0.0038125
                 127,            0.039393,            0.034006,            0.014825,             0.69515,             0.64348,             0.68954,             0.41751,            0.036579,             0.01959,           0.0098464,            0.003763,            0.003763,            0.003763
                 128,            0.039478,             0.03392,            0.014961,             0.69487,             0.64445,              0.6902,             0.41794,            0.036568,            0.019582,           0.0098423,           0.0037135,           0.0037135,           0.0037135
                 129,            0.039268,            0.033751,            0.014943,             0.69555,              0.6447,             0.69074,              0.4188,            0.036557,            0.019575,           0.0098392,            0.003664,            0.003664,            0.003664
                 130,            0.039167,             0.03369,            0.014873,              0.6969,             0.64339,             0.69093,             0.41883,            0.036546,            0.019565,           0.0098291,           0.0036145,           0.0036145,           0.0036145
                 131,             0.03926,            0.034145,            0.014634,             0.69907,             0.64422,             0.69134,              0.4195,            0.036537,            0.019559,           0.0098185,            0.003565,            0.003565,            0.003565
                 132,            0.039267,             0.03369,            0.014798,             0.70117,             0.64241,             0.69184,              0.4203,            0.036526,             0.01955,            0.009809,           0.0035155,           0.0035155,           0.0035155
                 133,            0.038947,            0.034092,            0.014353,             0.70173,             0.64117,             0.69228,             0.42068,            0.036514,            0.019542,           0.0097973,            0.003466,            0.003466,            0.003466
                 134,            0.039069,            0.033648,            0.014331,             0.70259,             0.64112,             0.69229,              0.4207,            0.036509,            0.019536,           0.0097857,           0.0034165,           0.0034165,           0.0034165
                 135,            0.038822,            0.033723,            0.014274,             0.70436,             0.64071,              0.6927,             0.42122,            0.036497,            0.019524,           0.0097677,            0.003367,            0.003367,            0.003367
                 136,            0.038922,            0.033707,             0.01419,             0.70447,             0.64174,             0.69301,             0.42122,            0.036486,            0.019518,           0.0097693,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03882,            0.033463,            0.014254,             0.70415,             0.64212,             0.69328,             0.42171,            0.036476,            0.019512,           0.0097612,            0.003268,            0.003268,            0.003268
                 138,            0.038434,            0.033421,             0.01396,             0.70597,             0.63985,             0.69322,             0.42182,            0.036464,            0.019503,           0.0097447,           0.0032185,           0.0032185,           0.0032185
                 139,            0.038597,            0.033494,            0.013932,              0.7069,             0.64037,             0.69387,             0.42222,             0.03645,            0.019496,           0.0097286,            0.003169,            0.003169,            0.003169
                 140,            0.038485,            0.033533,            0.013938,             0.70428,             0.64302,             0.69415,             0.42255,             0.03644,            0.019487,           0.0097143,           0.0031195,           0.0031195,           0.0031195
                 141,            0.038466,             0.03357,            0.013694,             0.70611,             0.64177,             0.69421,             0.42317,            0.036431,            0.019482,           0.0097011,             0.00307,             0.00307,             0.00307
                 142,            0.038674,             0.03349,            0.014106,             0.70581,             0.64171,             0.69481,             0.42358,            0.036422,            0.019477,           0.0096947,           0.0030205,           0.0030205,           0.0030205
                 143,            0.038441,            0.033118,            0.013821,             0.70012,             0.64747,             0.69493,             0.42346,             0.03641,            0.019472,           0.0096821,            0.002971,            0.002971,            0.002971
                 144,            0.038393,            0.033543,            0.013646,             0.69973,             0.64835,             0.69505,             0.42377,            0.036404,            0.019466,           0.0096756,           0.0029215,           0.0029215,           0.0029215
                 145,            0.038269,            0.033364,            0.013697,             0.69779,             0.65115,             0.69531,             0.42399,            0.036395,            0.019462,           0.0096706,            0.002872,            0.002872,            0.002872
                 146,            0.038278,            0.033205,            0.013734,              0.6996,              0.6498,             0.69543,             0.42411,            0.036384,            0.019459,           0.0096657,           0.0028225,           0.0028225,           0.0028225
