epoch,com_a_0.74_mAP_0.5,com_a_0.75_mAP_0.5_0.95,atl_mAP_0.5,alt_mAP_0.5:0.95,L1_mAP_0.5,L1_mAP_0.5:0.95,MSE_mAP_0.5,MSE_mAP_0.5:0.95,com_a0.5_mAP_0.5,com_0.5_mAP_0.5:0.95,com_a0.25_mAP_0.5,com_a0.25_mAP_0.5:0.95
169,0.69978,0.4297,0.69649,0.42478,0.68903,0.41608,0.69512,0.419,0.69611,0.42327,0.70111,0.4251
170,0.69994,0.42993,0.6969,0.42513,0.68949,0.41669,0.69554,0.41969,0.69656,0.42377,0.70139,0.42538
171,0.70009,0.43008,0.69737,0.42554,0.68971,0.41724,0.69551,0.42013,0.69705,0.42439,0.70149,0.42554
172,0.70054,0.43042,0.69755,0.42592,0.69033,0.41766,0.69599,0.42058,0.69732,0.42496,0.70167,0.42567
173,0.70065,0.43051,0.69809,0.42613,0.69135,0.41804,0.69675,0.42091,0.69746,0.42519,0.70178,0.42611
174,0.70081,0.43079,0.69865,0.4268,0.69167,0.41876,0.69769,0.42172,0.69814,0.42572,0.70197,0.42607
175,0.7008,0.43123,0.69925,0.42739,0.69192,0.41914,0.69778,0.42207,0.69868,0.42642,0.70233,0.42624
176,0.70148,0.43157,0.69954,0.4278,0.69224,0.41951,0.69878,0.42278,0.69928,0.42688,0.70262,0.42643
177,0.70129,0.43166,0.69986,0.42813,0.69259,0.42004,0.69914,0.42331,0.69961,0.42722,0.70274,0.42654
178,0.70177,0.43188,0.7002,0.42845,0.69298,0.42019,0.69918,0.42381,0.70032,0.42784,0.70289,0.42651
179,0.70195,0.43197,0.70051,0.42904,0.69371,0.42095,0.69976,0.42479,0.70113,0.42853,0.70315,0.42663
180,0.7023,0.43218,0.70122,0.4297,0.69451,0.42147,0.70001,0.42489,0.70117,0.42873,0.70314,0.42695
181,0.70234,0.43246,0.70156,0.43041,0.695,0.42179,0.70054,0.42556,0.70166,0.42908,0.70333,0.42696
182,0.70274,0.43259,0.70182,0.43086,0.69545,0.42236,0.70092,0.42575,0.70235,0.42943,0.70322,0.42705
183,0.70315,0.43279,0.7023,0.43141,0.69581,0.42271,0.70107,0.42596,0.70283,0.4299,0.70346,0.42708
184,0.70331,0.4329,0.70246,0.43146,0.69612,0.42295,0.70154,0.42619,0.70329,0.4302,0.70373,0.42746
185,0.7031,0.43295,0.70274,0.43235,0.69647,0.42333,0.70195,0.42653,0.70361,0.4305,0.70357,0.42762
186,0.70312,0.43329,0.70302,0.43249,0.697,0.42387,0.70232,0.42723,0.7043,0.43087,0.7038,0.42776
187,0.70292,0.4335,0.7035,0.43315,0.69686,0.42451,0.70231,0.42782,0.70483,0.43144,0.70376,0.42811
188,0.70279,0.43367,0.70418,0.43364,0.69754,0.42529,0.70258,0.4279,0.70538,0.43206,0.70431,0.42835
189,0.70277,0.43353,0.70431,0.43409,0.69819,0.42605,0.70283,0.42841,0.70573,0.43248,0.70422,0.4285
190,0.70325,0.43404,0.70507,0.43437,0.6987,0.42669,0.70317,0.42853,0.70606,0.43272,0.70437,0.4286
191,0.70305,0.43419,0.70519,0.43491,0.69897,0.42711,0.70362,0.42917,0.70628,0.43313,0.70432,0.42875
192,0.70322,0.43413,0.70551,0.43535,0.69952,0.42765,0.70397,0.42953,0.70659,0.43326,0.70458,0.42859
193,0.70332,0.43435,0.70607,0.4358,0.70002,0.42811,0.70438,0.43017,0.70708,0.43385,0.70472,0.42877
194,0.70319,0.43419,0.70646,0.43616,0.7003,0.42851,0.70499,0.4308,0.70721,0.43413,0.70467,0.42874
195,0.70352,0.43446,0.70693,0.43655,0.70061,0.42892,0.70517,0.4311,0.70755,0.43429,0.70476,0.42888
196,0.70365,0.43458,0.70741,0.43667,0.70107,0.4293,0.70563,0.43171,0.70795,0.43446,0.70482,0.42911
197,0.70377,0.43488,0.70764,0.43708,0.70113,0.42981,0.70589,0.43227,0.70834,0.43466,0.70494,0.42923
198,0.70399,0.43487,0.70757,0.4373,0.7015,0.43003,0.70614,0.43249,0.70861,0.43516,0.70497,0.42908
199,0.70411,0.43501,0.7078,0.43741,0.70169,0.43036,0.70667,0.43295,0.70896,0.43542,0.70475,0.42886
